Date	Transaction	Amount	Name	Memo
5/3/2021	OTHER	13	Interac - Purchase - MCDONALD'S 	MCDONALD'S #795 MONTREAL  QC  CA
5/3/2021	OTHER	65.4	Interac - Purchase - JEAN COUTU 	JEAN COUTU #092 MONTREAL  QC  CA
5/4/2021	OTHER	0.6	Withdrawal to Tangerine Savings 	Transferred
5/4/2021	OTHER	40.62	Interac - Purchase - SUPER C PIE	SUPER C PIE 1X MONTREAL  QC  CA
5/4/2021	OTHER	32.52	Interac - Purchase - RESTAURANT 	RESTAURANT DES SAINT-CYRI  QC  CA
5/5/2021	OTHER	1.73	Withdrawal to Tangerine Savings 	Transferred
5/5/2021	OTHER	16.04	Interac - Purchase - DEPANNEUR L	DEPANNEUR LE PI MONTREAL  QC  CA
5/5/2021	OTHER	44.81	Interac - Purchase - DEPANNEUR V	DEPANNEUR VALLEE VERTE MONTREAL  QC  CA
5/6/2021	OTHER	2.23	Withdrawal to Tangerine Savings 	Transferred
5/6/2021	OTHER	4.55	Interac - Purchase - BEMOL   LEV	BEMOL   LEVAIN MONTREAL  QC  CA
5/7/2021	OTHER	0.7	Withdrawal to Tangerine Savings 	Transferred
5/7/2021	OTHER	17.37	Interac - Purchase - DEPANNEUR L	DEPANNEUR LE PI Montreal  QC  CA
5/8/2021	OTHER	1.04	Withdrawal to Tangerine Savings 	Transferred
5/8/2021	OTHER	76.12	Interac - Purchase - METRO # 042	METRO # 0421 MONTREAL  QC  CA
5/8/2021	OTHER	15.95	Interac - Purchase - SAQ23173 MA	SAQ23173 MASSON MONTREAL  QC  CA
5/9/2021	OTHER	0.93	Withdrawal to Tangerine Savings 	Transferred
5/9/2021	OTHER	44.84	Interac - Purchase - PROVIGO RAC	PROVIGO RACHEL MONTREAL  QC  CA
5/9/2021	OTHER	11.36	Interac - Purchase - MCDONALD'S 	MCDONALD'S #270 ST.LEONARD  QC  CA
